#solverEARandom,
#Instance,Iteration,Segments,Edges,Vertices,Max k,Time,Solution value,Upper bound value,
von_koch-random-55-3,0,163,5373,2645,25,670054477928,26683.971468,
von_koch-random-55-3,0,163,5373,2645,30,913980415071,32597.515623,
von_koch-random-55-3,1,179,6153,3026,25,823965404458,29138.578792,
von_koch-random-55-3,1,179,6153,3026,30,913282449909,35413.824856,
von_koch-random-55-3,2,213,8481,4170,25,655447023207,33545.987601,
von_koch-random-55-3,2,213,8481,4170,30,909410500059,40629.703677,
von_koch-random-55-4,0,163,5982,2948,25,670489412896,81015.727807,
von_koch-random-55-4,0,163,5982,2948,30,911035436106,97742.094351,
von_koch-random-55-4,1,179,6789,3342,25,873687057591,86617.478047,
von_koch-random-55-4,1,179,6789,3342,30,919519652104,105801.364099,
von_koch-random-55-4,2,213,9115,4480,25,916867528959,91137.119533,
von_koch-random-55-4,2,213,9115,4480,30,942262548448,111780.353894,
random-x-monotone-55-1337,0,158,5948,2950,25,835617937643,75483.582754,
random-x-monotone-55-1337,0,158,5948,2950,30,934568886768,93851.833726,
random-x-monotone-55-1337,1,172,6820,3379,25,915010849959,78220.316650,
random-x-monotone-55-1337,1,172,6820,3379,30,924637359100,98244.639816,
random-x-monotone-55-1337,2,205,9073,4489,25,966464280513,83419.473308,
random-x-monotone-55-1337,2,205,9073,4489,30,995204690264,105463.763006,
von_koch-random-55-5,0,163,5896,2908,25,700564385976,978708.290433,
von_koch-random-55-5,0,163,5896,2908,30,917445176729,1201739.660604,
von_koch-random-55-5,1,179,7008,3453,25,950793699039,1080147.508365,
von_koch-random-55-5,1,179,7008,3453,30,953311159330,1312102.652060,
von_koch-random-55-5,2,213,9808,4831,25,933290513690,1209577.854987,
von_koch-random-55-5,2,213,9808,4831,30,970580958159,1480188.155894,
von_koch-random-55-2,0,163,6496,3209,25,920410524137,9733.061288,
von_koch-random-55-2,0,163,6496,3209,30,934776056714,12113.231866,
von_koch-random-55-2,1,179,7554,3729,25,943331643266,10351.832635,
von_koch-random-55-2,1,179,7554,3729,30,874112270950,12749.098285,
von_koch-random-55-2,2,213,10329,5093,25,944701544723,11467.330748,
von_koch-random-55-2,2,213,10329,5093,30,917948033196,14128.308817,
random-2-opt-50-1337,0,135,3691,1828,25,455838638020,66958.211141,
random-2-opt-50-1337,0,135,3691,1828,30,599339934540,82961.983315,
random-2-opt-50-1337,1,148,4300,2126,25,620053876595,70033.097487,
random-2-opt-50-1337,1,148,4300,2126,30,674392292606,86536.761620,
random-2-opt-50-1337,2,172,6038,2983,25,962631985551,78766.728707,
random-2-opt-50-1337,2,172,6038,2983,30,921403113378,97902.823256,
ic_die20-darkness-50-int-42,0,135,4845,2405,25,620697619090,27910.692427,
ic_die20-darkness-50-int-42,0,135,4845,2405,30,947411899290,34759.144021,
ic_die20-darkness-50-int-42,1,148,5688,2820,25,848919912163,29092.205378,
ic_die20-darkness-50-int-42,1,148,5688,2820,30,915091354139,36849.692992,
ic_die20-darkness-50-int-42,2,172,7400,3664,25,934030934068,32331.895173,
ic_die20-darkness-50-int-42,2,172,7400,3664,30,907892520972,41158.411781,
ic_die22-edges-50-int-42,0,135,3927,1946,25,436201275482,20429.841367,
ic_die22-edges-50-int-42,0,135,3927,1946,30,540231092629,25708.904087,
ic_die22-edges-50-int-42,1,148,4730,2341,25,751875697487,21314.378281,
ic_die22-edges-50-int-42,1,148,4730,2341,30,781173168717,27065.962343,
ic_die22-edges-50-int-42,2,172,6102,3015,25,717487494011,24480.340872,
ic_die22-edges-50-int-42,2,172,6102,3015,30,573824951970,30883.469296,
skyline_new_york-edges-50-float-42,0,135,4685,2325,25,482681190141,107939.559678,
skyline_new_york-edges-50-float-42,0,135,4685,2325,30,920799473807,130784.052551,
skyline_new_york-edges-50-float-42,1,148,5470,2711,25,942828836194,111748.130139,
skyline_new_york-edges-50-float-42,1,148,5470,2711,30,957859696056,138447.443800,
skyline_new_york-edges-50-float-42,2,172,7060,3494,25,801086351559,124953.386026,
skyline_new_york-edges-50-float-42,2,172,7060,3494,30,971601082965,154606.668045,
ic_die21-color-50-int-42,0,135,4055,2010,25,507946261560,21975.649942,
ic_die21-color-50-int-42,0,135,4055,2010,30,512668721007,27100.460353,
ic_die21-color-50-int-42,1,148,4678,2315,25,725133271896,23447.215212,
ic_die21-color-50-int-42,1,148,4678,2315,30,651357896800,29078.029074,
ic_die21-color-50-int-42,2,172,6326,3127,25,558927316196,26474.374962,
ic_die21-color-50-int-42,2,172,6326,3127,30,945121605162,33060.211539,
skyline_sydney-edges-50-int-42,0,135,3967,1966,25,386665255256,56043.836584,
skyline_sydney-edges-50-int-42,0,135,3967,1966,30,513028740853,67219.147704,
skyline_sydney-edges-50-int-42,1,148,4778,2365,25,358584818021,57884.356720,
skyline_sydney-edges-50-int-42,1,148,4778,2365,30,483448148692,70586.300863,
skyline_sydney-edges-50-int-42,2,172,6012,2970,25,831862554451,65375.164079,
skyline_sydney-edges-50-int-42,2,172,6012,2970,30,950466426356,80166.889064,
ic_die25-edges-50-int-42,0,135,4087,2026,25,547402203724,19099.227097,
ic_die25-edges-50-int-42,0,135,4087,2026,30,609443217126,23387.667340,
ic_die25-edges-50-int-42,1,148,4926,2439,25,785439538290,20219.265972,
ic_die25-edges-50-int-42,1,148,4926,2439,30,918980224551,24871.325224,
ic_die25-edges-50-int-42,2,172,6324,3126,25,860925617566,22691.917438,
ic_die25-edges-50-int-42,2,172,6324,3126,30,582939460221,28487.940412,
skyline_new_york-edges-50-int-42,0,135,4063,2014,25,316670093488,94596.151908,
skyline_new_york-edges-50-int-42,0,135,4063,2014,30,544552685883,114495.742093,
skyline_new_york-edges-50-int-42,1,148,4810,2381,25,767023383192,98729.347641,
skyline_new_york-edges-50-int-42,1,148,4810,2381,30,832240187565,121757.444595,
skyline_new_york-edges-50-int-42,2,172,6378,3153,25,688715787701,109963.750195,
skyline_new_york-edges-50-int-42,2,172,6378,3153,30,940592520838,135231.458038,
ic_die26-color-50-int-42,0,135,4085,2025,25,867681202536,22984.556652,
ic_die26-color-50-int-42,0,135,4085,2025,30,613852865297,28870.438511,
ic_die26-color-50-int-42,1,148,4640,2296,25,567136239594,24328.225718,
ic_die26-color-50-int-42,1,148,4640,2296,30,913847735889,30710.362116,
ic_die26-color-50-int-42,2,172,6402,3165,25,845654372226,29082.175327,
ic_die26-color-50-int-42,2,172,6402,3165,30,925761500291,35805.168762,
ic_die05-darkness-50-int-42,0,135,4281,2123,25,446323489679,26260.093622,
ic_die05-darkness-50-int-42,0,135,4281,2123,30,579784036380,32594.847102,
ic_die05-darkness-50-int-42,1,148,4954,2453,25,832590495314,27614.880454,
ic_die05-darkness-50-int-42,1,148,4954,2453,30,816166582375,34715.050714,
